486 students got an average of their 2 choice, while 14 students did not get any of their choices
Student Name, Student GPA, Project UUID, Project Title
VIRGINIA ROSS, 3.01, 2df4f898-3657-47f6-b120-8e2cdc333d57, Using ai to streamline working out
BEVERLY HARRIS, 2.2, 2bfabdb6-45bb-4c44-8d1f-19fedec27b9f, Using ai to streamline starring in Hollywood movies
MARK GREEN, 3.21, 019b67e0-23a8-4662-a803-a0321f64ed07, View of dagon in starring in madcap comedies
DALE KING, 3.28, 0c804329-a024-47fb-93e4-f5ffd50d5b97, View of dagon in playing guitar
CAROL JENKINS, 3.1, bdf9ce43-6989-49b4-aa26-bd7e526c0646, Using excel to analyse patterns in killing murderers
SAMUEL KELLY, 3.37, 27c75a39-d211-4692-af3a-4025b6aae8d4, Worshipping cthulu in constructing an ironic public image
SHIRLEY WRIGHT, 3.53, 684e2a5c-2b29-4eac-bdd7-d36ff94211e3, View of dagon in ranting about liberals
RALPH BROWN, 2.49, 4010bc0e-3de7-4454-9413-7e1ff417704c, Security analysis of doing the Charleston
SUSAN RODRIGUEZ, 2.23, 53566c3c-f805-47fb-84ff-8dc27d3a78a1, Using excel to analyse patterns in falling gracefully
ANDREW ROBERTS, 3.69, ee23d2d8-afa5-473d-8318-a84216ae3b57, Using ai to streamline campaigning for democracy
CARL EVANS, 3.19, ce1e3b9d-d5d9-4956-af67-51df1d6b4b58, Security analysis of surviving in the 25th century
LILLIAN TURNER, 3.43, dd1d65a6-36bd-47c9-bad8-da9ad5015428, Using rfid to improve campaigning for the senate
JOE BUTLER, 2.19, 5f20a8f0-5b66-4bc0-a4bc-f57e975ce7c5, Security analysis of making idealistic movies
AMANDA WARD, 3.07, 47d2e156-11c7-4658-80a5-bce2dbf8330f, Using ai to streamline playing quidditch
HEATHER BELL, 3.19, 412da361-a6a6-4dae-8359-538d4049d6f4, Security analysis of searching for a new world
ANNA CLARK, 3.44, 1e9449c1-de36-456c-8e98-6b4fa1a4dc53, Using rfid to improve studying symbols
JUAN MILLER, 3.27, cfd67a61-cdf6-4636-a966-3052e771c0d6, Using ai to streamline ranting about minorities
ANTONIO EVANS, 2.49, b1c73732-b7ee-4545-9123-8443ff135bdd, Security analysis of making dumb comedies
LISA SANCHEZ, 3.77, 575567d3-3cb8-42dc-bd0d-4a9fa4bcbd48, Using rfid to improve gadding about town
ANNE COLEMAN, 3.05, bb8363c5-0759-49e1-9fd4-259e9d25c352, View of dagon in promoting yellow journalism
SANDRA EDWARDS, 3.86, 44f39910-b31f-43ad-874d-1527c6faa435, View of dagon in moaning about men
VIRGINIA FLORES, 2.67, 412da361-a6a6-4dae-8359-538d4049d6f4, Security analysis of searching for a new world
PAMELA CARTER, 3.04, 859fd5e6-aeab-40d3-9e01-b5a221d56d5f, Using excel to analyse patterns in lecturing about climate change
SARA DAVIS, 2.83, b4d7c339-e9b9-47a8-ab6a-d1192c07c807, Using excel to analyse patterns in killing murderers
PHILLIP RUSSELL, 3.59, d6e0d923-0b47-4408-8211-31ee330660b3, Worshipping cthulu in designing modern buildings
AMANDA JOHNSON, 2.13, 8e7b7c0a-2689-4986-a600-30b3efed909f, Using ai to streamline hitting home runs
SEAN EDWARDS, 3.19, bba8ad6b-c84c-4f2f-9620-8bed320b9ef6, Using excel to analyse patterns in singing romantic songs
JANICE MORRIS, 3.25, a61a3fa0-77a5-4fa1-a55a-7d316168d50e, Using excel to analyse patterns in building giant walls
BEVERLY LEWIS, 2.39, 37b932d8-78e2-4f64-8e91-3a5681206fb8, Using excel to analyse patterns in playing classical piano
PATRICK BROWN, 3.72, 5eb5a88d-e5f2-480a-b04f-d964c7ea97e1, Security analysis of writing experimental songs
BILLY KELLY, 2.58, 4c0401a6-e5f6-4137-b89e-146b458fae43, View of dagon in starring in action movies
KEVIN GONZALES, 3.88, 23938fc8-8477-4954-bcec-10a54bbc5b6e, Worshipping cthulu in eating a box of chocolates
ALAN BRYANT, 2.74, d8652f5b-31c7-40d2-ac21-a6a30a45b473, View of dagon in starring in Hollywood movies
CHRISTINE GRAY, 2.06, d2f55e23-a301-4189-911d-4a6c2e004d53, Using ai to streamline writing serialized stories
CHRISTOPHER SCOTT, 3.13, 2a9e73be-1ad5-46bf-9292-7f398ec4c632, Using rfid to improve composing classical music
DEBORAH DIAZ, 3.25, 23938fc8-8477-4954-bcec-10a54bbc5b6e, Worshipping cthulu in eating a box of chocolates
PAMELA REED, 2.97, 4c09c48d-f542-4542-a09f-95e1da75ba77, Worshipping cthulu in starring in Hollywood movies
ARTHUR RIVERA, 2.03, ea8cce01-4d58-4f3d-ae09-5b4fd8db273b, Using ai to streamline maintaining a secret identity
DONALD CARTER, 3.71, dd95d419-34f0-4735-af8c-5405f4363bb6, Using rfid to improve chasing terrorists
MANUEL GREEN, 3.14, f15540ff-3937-407b-bb24-60d3d7f63852, Using rfid to improve dating centrefolds
JUDY PEREZ, 3.9, c495fc28-cc47-4c70-8050-e57eb9651be1, Worshipping cthulu in attacking paparazzi
CATHERINE JOHNSON, 2.5, 5f20a8f0-5b66-4bc0-a4bc-f57e975ce7c5, Security analysis of making idealistic movies
PHYLLIS KING, 3.99, 481c2ccb-a1af-495c-b2b7-2766708164ad, Using ai to streamline running an empire
SANDRA CLARK, 3.19, 0fcd81c5-263f-40b4-a336-972f99a8e83c, View of dagon in defending plaintiffs
AMY EDWARDS, 3.49, f13b1aaf-c86a-41c4-820e-8e05dc9d2de7, Worshipping cthulu in singing opera arias
KAREN WRIGHT, 2.9, 2b8deeeb-182c-4b29-aeb5-7dfc77cd7059, View of dagon in fighting with the mob
FRANCES PATTERSON, 3.11, b834c42e-1f76-4047-b7f8-9f51c8430b46, Using excel to analyse patterns in writing poetry
LAWRENCE DIAZ, 3.28, 0dc2f841-b350-4e84-a26f-6f836589bdca, Using excel to analyse patterns in winning cycling races
ERIC MORGAN, 2.25, 92c0557a-349a-43cc-9c3c-a993e246463b, Security analysis of playing aggressive chess
DANNY RODRIGUEZ, 3.98, b9c3592c-0aac-4229-a234-f5887b5632c6, Using rfid to improve writing modern poetry
DORIS MILLER, 3.36, 1fcabb49-fa7e-4401-ac5e-29ac49dc1853, Security analysis of selling fried chicken
JANICE WILSON, 3.7, 35972f70-55ff-43f8-bd3e-20a207086ec5, Using excel to analyse patterns in promoting hair products
FRANCES SCOTT, 2.67, daf0f09d-9522-4045-ae3a-e091fa9b77aa, View of dagon in starring in romantic comedies
LOUISE ROGERS, 2.11, b1c73732-b7ee-4545-9123-8443ff135bdd, Security analysis of making dumb comedies
MARIA PATTERSON, 3.71, cd46b201-e2d8-453b-b73d-349a63a9f7ea, Worshipping cthulu in winning boxing matches
BRUCE CAMPBELL, 2.02, a70b4aa1-2872-4641-ab4b-06cbfa3fc070, Using rfid to improve eluding FBI profilers
KATHRYN ADAMS, 3.73, a61a3fa0-77a5-4fa1-a55a-7d316168d50e, Using excel to analyse patterns in building giant walls
RUSSELL HUGHES, 2.89, 8c91a0e3-816c-479f-b0bf-786566eae36d, Worshipping cthulu in making prank calls
NICHOLAS TORRES, 2.51, bcdd05b6-2eb5-469a-ace3-dc734957b06e, View of dagon in telling affable jokes
JOSHUA TAYLOR, 3.4, cca38eb7-f93a-4a16-98cb-959ea5e42bac, Worshipping cthulu in running an empire
MARIA COLEMAN, 2.41, f260cb44-caab-41d7-bfea-9ed5c04d4ad5, Using excel to analyse patterns in fighting with the mob
SEAN ADAMS, 3.93, 6d8714cc-85eb-4743-9c26-e125d3db22d9, Using rfid to improve worrying about life
RODNEY GONZALES, 3, c998dd30-ea6a-4a67-86e8-6954a99937cd, Using excel to analyse patterns in campaigning for democracy
FRED LONG, 2.3, 61767c0c-5499-47cd-b88e-f05252c77448, Using excel to analyse patterns in hosting a late night chat show
KATHERINE COX, 3.19, 90cde2ad-dcaf-4a74-bbe4-83c5071f0a76, Using excel to analyse patterns in playing James Bond
ALLEN RICHARDSON, 2.07, cefcff26-af29-493d-9abf-6e1f6e4a7bd2, View of dagon in singing rock songs
GEORGE THOMPSON, 3.26, 0238370e-8b04-45ae-9539-4fe33252b2ff, View of dagon in making insipid musicals
CHRISTINA CAMPBELL, 2.38, b051771b-3b52-4c53-b2d0-c31bf622d191, Using excel to analyse patterns in deep-frying chicken
PAULA GONZALEZ, 2.38, 007f66d3-55a3-4ea1-b117-9be852c62e63, Security analysis of singing melancholy songs
JEFF LOPEZ, 2.88, fcf23231-732f-4b85-843b-63a31a85a668, Using excel to analyse patterns in selling consumer goods
EDITH HILL, 2.7, 708ad2c2-c0b5-4a92-8dd6-ff61f0fdf66d, View of dagon in womanizing
JASON GONZALES, 2.83, 156570ed-1ce9-4c02-9f7c-b90a8ec2f5be, Worshipping cthulu in writing up case notes
SARAH COOK, 3.91, 46a58883-ab7d-4467-8e9f-779fef4a6f64, Using rfid to improve pretending to fight
ANTONIO HAYES, 2.88, 2428149b-2407-4132-9d6e-ff78c5dd389f, Using rfid to improve exploring darkest Africa
WANDA MARTIN, 3.27, f260cb44-caab-41d7-bfea-9ed5c04d4ad5, Using excel to analyse patterns in fighting with the mob
MARTHA RICHARDSON, 3.37, 58e25764-7e60-48e1-b2fb-8ba0f4e09d63, Using excel to analyse patterns in directing movies
DONALD BAKER, 3.99, 9eb3667a-b0a4-41f8-8cf9-3af0efc9de52, Security analysis of running an empire
WILLIAM SANCHEZ, 2.19, 83e5dc07-ddf9-41ba-92ae-f56a68b7f6d4, Using excel to analyse patterns in starring in action movies
JANET PHILLIPS, 3.58, 5f9102ee-997d-4043-acb9-5ff30caa83ba, Using excel to analyse patterns in starring in romantic comedies
CATHERINE SANDERS, 2.74, f95f8378-3c64-4702-a3d3-3ab0843a0d57, Using rfid to improve punching out Nazis
BRUCE WOOD, 2.84, 81e41af0-cb3d-4a1a-8434-6c9391bd9110, Using ai to streamline terrorizing employees
ROSA SANDERS, 3.88, 2a715d5c-1446-446c-8127-0a60eedefe32, Using ai to streamline hunting raccoons
PHYLLIS GRIFFIN, 2.79, a4042a12-87df-473d-8695-104330d394c6, Using rfid to improve offering medical opinions
NATHAN MURPHY, 2.75, 2df4f898-3657-47f6-b120-8e2cdc333d57, Using ai to streamline working out
ANDREW HALL, 2.95, 4ca107b7-10e6-4a72-9012-b7a38510322d, Worshipping cthulu in giving speeches
WILLIAM DAVIS, 3.63, 1d8287da-690b-417c-8410-a82868ad031c, Security analysis of leading revolutions
SHAWN MURPHY, 2.45, cc29ee49-2a25-4785-bcd6-a48f7f984577, Using excel to analyse patterns in spitting while speaking
AARON LEE, 3.94, eeae7fb2-1fb0-44e7-b157-19e3e063cd08, Using excel to analyse patterns in promoting conservative values
PATRICIA GRAY, 3.77, 2a7b3a5e-3644-4d59-9770-3bbd2dd929a4, Using excel to analyse patterns in hunting raccoons
CHRIS COLLINS, 2.38, bcdd05b6-2eb5-469a-ace3-dc734957b06e, View of dagon in telling affable jokes
ARTHUR HOWARD, 2.63, 83e5dc07-ddf9-41ba-92ae-f56a68b7f6d4, Using excel to analyse patterns in starring in action movies
JESSICA MORGAN, 2.12, af8b6351-0666-4661-b633-fde57f7bc245, View of dagon in studying icons
JEREMY JAMES, 2.28, 6275c40e-0080-4ba3-88b5-2cb35002cf7b, Security analysis of promoting Heliocentrism
KEITH ROGERS, 2.13, bcdd05b6-2eb5-469a-ace3-dc734957b06e, View of dagon in telling affable jokes
REBECCA GONZALEZ, 2.48, d4191fe9-ee56-4333-8298-3752f6c67045, Using rfid to improve talking up the economy
DORIS HILL, 2.93, 369fa8ca-2ee6-4d24-93dc-66227afe8aef, View of dagon in doing stand-up
ALICE WILSON, 3.55, d9d8949f-0858-4467-84c7-14a22cc8303d, Using excel to analyse patterns in tricking criminals
MARTHA THOMAS, 2.15, 5c0e7bfd-d0b7-483f-8bc4-c10b56ff470d, Worshipping cthulu in womanizing
RODNEY FOSTER, 2.63, 1202e59f-b6d8-4dec-b3e4-3bba22d38532, Using ai to streamline giving speeches
EDWARD BUTLER, 3.84, f036f509-ab92-4dca-a5e9-b57f71be802b, Using rfid to improve pouting on camera
MARTHA BRYANT, 3.65, e36c6f15-f1f4-445d-a040-45aff7e79403, View of dagon in painting melancholy pictures
LAWRENCE COOPER, 3.72, 458c0a4b-75cd-4fbe-aac7-ee3ce9854f5b, Worshipping cthulu in campaigning for democracy
CAROLYN PERRY, 3.13, c6a64a4f-f939-4a1e-92fc-dbde48afac86, Security analysis of revolutionizing physics
PHILLIP ANDERSON, 3.35, b4bca1be-ca40-48c1-b98c-42d24ee59acf, Worshipping cthulu in starring in indy movies
TAMMY EDWARDS, 2.95, 8d01cc7d-6b89-4489-9f0a-6f0d9e842c83, Worshipping cthulu in campaigning for the senate
SEAN LONG, 3.03, 5e84fb35-cf9a-42dd-94c8-4ff32553a535, Worshipping cthulu in performing magic tricks
LINDA RICHARDSON, 3.54, a8d6c5b8-e75d-43bf-9f36-8ca6a1ab9966, Using excel to analyse patterns in coasting on past glories
JAMES WILLIAMS, 2.25, 2206038d-0aa4-4f82-ae2c-2cee12e6de0a, View of dagon in teaching the next generation
BETTY EVANS, 2.48, 02da5159-7fdf-4078-84e0-3bd8b414e6d9, Using excel to analyse patterns in struggling with modern times
GLADYS THOMAS, 2.69, 7abce8c9-2738-49c6-8fbd-aa802a7c0b0e, View of dagon in ranting about politics
CINDY PARKER, 2.29, 5af1cf66-a1b1-4e6c-ad40-cf931ec5d0a1, Security analysis of exploring darkest Africa
EDNA COX, 3.2, 27c75a39-d211-4692-af3a-4025b6aae8d4, Worshipping cthulu in constructing an ironic public image
GREGORY HALL, 3.11, 98021e37-cef4-42b5-8a66-ff5852b2ec08, View of dagon in promoting Objectivism
LARRY ALEXANDER, 2.03, 3a721a1a-2f85-437e-b9b5-7ce5aa90582d, Using rfid to improve reading braille
ROSA TAYLOR, 3.69, 55e9dd42-8cca-483d-95ad-6992d8dd6768, Using ai to streamline singing country music
GRACE JONES, 3.91, 16b9c07e-bec5-4552-9f09-e2c651fe35f3, Using ai to streamline promoting feminism
HOWARD MITCHELL, 2.15, 02ed8f2e-e9c1-495d-adad-a10a17296659, Using rfid to improve studying genetics
TRAVIS RICHARDSON, 3.68, 905ffabd-668a-4e74-a351-9b9e1785c078, Worshipping cthulu in avoiding paparazzi
ASHLEY ALLEN, 3.78, c495fc28-cc47-4c70-8050-e57eb9651be1, Worshipping cthulu in attacking paparazzi
DANIEL PRICE, 3.91, daf0f09d-9522-4045-ae3a-e091fa9b77aa, View of dagon in starring in romantic comedies
JOSE LONG, 2.04, 913fa19c-7032-4881-a45c-30f8e7ac5f52, Using excel to analyse patterns in writing about social problems
JEREMY CARTER, 3.89, 7da0ee84-9db8-4161-b3da-6a0dd1d782d8, Security analysis of singing experimental songs
SYLVIA POWELL, 3.22, 01a6d33c-e7d5-4c8f-86c9-da9f7a66a0dd, Security analysis of promoting big business
MARIE COLEMAN, 3.51, 19e5ba71-dafe-457b-9a93-6b8eb2680e9a, Using ai to streamline complaining about life
TIFFANY MARTINEZ, 3.78, 65b94f9f-63d8-4e30-9441-9be3a6c2f831, Using ai to streamline piloting the lunar module
TIMOTHY BAILEY, 2.86, 708ad2c2-c0b5-4a92-8dd6-ff61f0fdf66d, View of dagon in womanizing
SAMUEL CAMPBELL, 3.22, f51ffb14-40c9-44cb-8e2d-07d41caf0090, Using ai to streamline writing modern poetry
JEFF HERNANDEZ, 3.67, e5ca420f-4f96-4ce1-9434-cc274d0b75c1, Worshipping cthulu in playing grungy music
CLARENCE SANDERS, 2.23, 98021e37-cef4-42b5-8a66-ff5852b2ec08, View of dagon in promoting Objectivism
DONALD MOORE, 2.99, 6275c40e-0080-4ba3-88b5-2cb35002cf7b, Security analysis of promoting Heliocentrism
EDNA SMITH, 3.36, e8121034-e12e-4f7f-9308-e9c2241ac22c, Using excel to analyse patterns in singing middle-of-the-road songs
LILLIAN MORRIS, 2.44, e6b142e3-ea9d-43c5-b176-ae01024b5c1a, Using excel to analyse patterns in giving speeches
KATHLEEN HARRIS, 2.49, 2bfabdb6-45bb-4c44-8d1f-19fedec27b9f, Using ai to streamline starring in Hollywood movies
JESSICA LOPEZ, 3.89, 5572ce14-8d18-4cc6-af68-cb944fb3a5c1, Worshipping cthulu in moaning about men
LISA COLLINS, 2.3, 38cdb724-9242-4bb0-ba19-5f6871ccfd35, Using ai to streamline campaigning for the senate
TONY HOWARD, 3.32, 9f9de9c2-e9bd-45dd-904a-3272f3756c75, Worshipping cthulu in driving around America
STEPHANIE SANCHEZ, 3.76, 7da0ee84-9db8-4161-b3da-6a0dd1d782d8, Security analysis of singing experimental songs
CRYSTAL HAYES, 3.41, 9db2ced2-6dd1-493d-aa0b-72960d47243f, Using rfid to improve chasing old women
ALBERT WRIGHT, 3.55, 38ec9035-b5bd-4128-a399-46158cab59f1, Security analysis of campaigning for the senate
CHRISTOPHER SANCHEZ, 2.22, 619f5f67-7060-4e78-853a-dfa68ced9e38, Using excel to analyse patterns in gyrating hips
MARTIN MITCHELL, 2.98, 106a7388-3ca8-4063-889e-3de1a2cc5ce2, Using excel to analyse patterns in eating the inedible
FRANK ROSS, 2.42, 0dc2f841-b350-4e84-a26f-6f836589bdca, Using excel to analyse patterns in winning cycling races
EMILY RODRIGUEZ, 2.56, d6e0d923-0b47-4408-8211-31ee330660b3, Worshipping cthulu in designing modern buildings
MARTHA WILLIAMS, 3.01, 575567d3-3cb8-42dc-bd0d-4a9fa4bcbd48, Using rfid to improve gadding about town
DAWN CARTER, 2.15, c141a962-fb07-4d75-a274-24f24da5cd89, Worshipping cthulu in starring in romantic comedies
HENRY CLARK, 3.01, 0c804329-a024-47fb-93e4-f5ffd50d5b97, View of dagon in playing guitar
BILLY NELSON, 3.01, 81e41af0-cb3d-4a1a-8434-6c9391bd9110, Using ai to streamline terrorizing employees
JAMES ANDERSON, 2.51, 91bb8af5-1306-42d9-bedf-0ee93c37f486, Security analysis of playing rock music
DIANA DAVIS, 2.81, b70c41f9-63de-4034-b5ca-05e98d2fde16, Worshipping cthulu in defending freedom
HELEN COLLINS, 2.53, aeba768a-64c4-498c-a680-ad5af15590f5, Using excel to analyse patterns in promoting boxing fights
ANTONIO LOPEZ, 2.57, 8a7d3190-93bc-4cec-9a33-fa48738e5c1b, Using excel to analyse patterns in starring in Hollywood movies
JEAN PHILLIPS, 3.95, 55e9dd42-8cca-483d-95ad-6992d8dd6768, Using ai to streamline singing country music
NORMAN COOK, 3.31, 38cdb724-9242-4bb0-ba19-5f6871ccfd35, Using ai to streamline campaigning for the senate
CURTIS HALL, 3.16, 485360ea-e38a-4612-9559-35fc1735fe51, Worshipping cthulu in waxing a surfboard
LISA HOWARD, 2.33, a61a3fa0-77a5-4fa1-a55a-7d316168d50e, Using excel to analyse patterns in building giant walls
VINCENT ROSS, 2.4, 57050823-815b-45ce-af92-08ee9f1ae6a9, Using rfid to improve singing melancholy songs
CATHERINE DAVIS, 3.17, 3de5061f-8471-4cdf-bd48-ee5ff43ee89f, Using rfid to improve writing mystery stories
DALE GRIFFIN, 2.08, 975cc488-c5b3-4166-a1eb-68e90f387a1c, Using ai to streamline studying genetics
REBECCA LEWIS, 3.54, 5eb5a88d-e5f2-480a-b04f-d964c7ea97e1, Security analysis of writing experimental songs
AMY RICHARDSON, 2.53, 81e41af0-cb3d-4a1a-8434-6c9391bd9110, Using ai to streamline terrorizing employees
SANDRA LOPEZ, 2.71, 41988aa4-2531-40dc-a9b6-b0b43e08887c, Worshipping cthulu in making dumb comedies
MARIE CLARK, 2.22, 51217e31-9517-448f-a091-ccc2f1dd8f79, Using ai to streamline painting soup cans
TIMOTHY DAVIS, 3.56, b8043b73-b811-41bd-90f1-c5affa0fbe69, Using ai to streamline driving around America
ALBERT PETERSON, 3.55, 1e9449c1-de36-456c-8e98-6b4fa1a4dc53, Using rfid to improve studying symbols
CARLOS BROOKS, 2.07, ac0b01ba-7ada-43e7-89c9-5bb6eae4da27, Using excel to analyse patterns in playing quidditch
WILLIE ROGERS, 2.17, cfd67a61-cdf6-4636-a966-3052e771c0d6, Using ai to streamline ranting about minorities
MARGARET WARD, 3.33, 27c75a39-d211-4692-af3a-4025b6aae8d4, Worshipping cthulu in constructing an ironic public image
CAROL RIVERA, 3.49, 38ec9035-b5bd-4128-a399-46158cab59f1, Security analysis of campaigning for the senate
HENRY WOOD, 3.24, c05a3093-1efa-47b6-bffc-3ec8fb4f630c, Worshipping cthulu in performing street magic
SHIRLEY FLORES, 2.88, 9eeeb11c-497f-40c3-a0e0-ea9496d38e3a, Using rfid to improve composing classical music
DAWN JAMES, 2.23, e8121034-e12e-4f7f-9308-e9c2241ac22c, Using excel to analyse patterns in singing middle-of-the-road songs
GREGORY PERRY, 3.76, 8d01cc7d-6b89-4489-9f0a-6f0d9e842c83, Worshipping cthulu in campaigning for the senate
JEFF SMITH, 2.53, 59d6624c-e1c4-4b64-8a89-d62baccec761, Using excel to analyse patterns in writing experimental songs
SHARON PARKER, 3.47, af8b6351-0666-4661-b633-fde57f7bc245, View of dagon in studying icons
JOSEPH DAVIS, 2.92, 0efbb25e-0e1d-43d2-809c-ea252cda210d, Using excel to analyse patterns in watching TV
MARTHA ADAMS, 3.85, f51ffb14-40c9-44cb-8e2d-07d41caf0090, Using ai to streamline writing modern poetry
DIANA WILSON, 2.06, a4042a12-87df-473d-8695-104330d394c6, Using rfid to improve offering medical opinions
RANDY SMITH, 2.68, 752f4501-095d-4395-863b-1fb9ed6e4f8c, Security analysis of telling affable jokes
TONY THOMAS, 3.26, 024dfea3-8afe-4ed0-aac6-3525c4510430, Security analysis of writing compelling dialogue
JUAN ADAMS, 3.56, d265d34a-1836-4d1c-bd86-fbf778565c89, Using rfid to improve coasting on past glories
BARBARA SMITH, 3.73, 8c91a0e3-816c-479f-b0bf-786566eae36d, Worshipping cthulu in making prank calls
KAREN RODRIGUEZ, 3.39, 13172f02-454f-41cd-a22a-7ac17923b7d8, Using rfid to improve studying the cosmos
MARIA WASHINGTON, 2.13, c141a962-fb07-4d75-a274-24f24da5cd89, Worshipping cthulu in starring in romantic comedies
JEFFREY LEE, 3.68, 91bb8af5-1306-42d9-bedf-0ee93c37f486, Security analysis of playing rock music
LEONARD WHITE, 2.42, 72257529-3e7b-46d9-9747-5179e37477d4, Worshipping cthulu in recording pop songs
VINCENT BRYANT, 3.84, 3917fe64-7c31-43c4-a371-12579f801eea, Using rfid to improve writing about manly pursuits
JOSHUA HOWARD, 2.94, b4d7c339-e9b9-47a8-ab6a-d1192c07c807, Using excel to analyse patterns in killing murderers
FLORENCE PETERSON, 3.86, 5b77642f-e944-4834-9a1f-9ca4d8711b53, Using ai to streamline collecting fossils
BRENDA BRYANT, 2.38, 58591f41-40ab-4a49-b80f-dec0a40a8ed0, Security analysis of doing the Kessel run
HEATHER NELSON, 3.17, cefcff26-af29-493d-9abf-6e1f6e4a7bd2, View of dagon in singing rock songs
CRYSTAL SMITH, 2.93, 0940bb32-18d6-4035-8250-acba3a88c70b, Worshipping cthulu in singing pop songs
ANTHONY GRIFFIN, 2.74, 29e4fb42-ea38-47f4-97e5-f4fc2f692808, Worshipping cthulu in running a school for gifted teens
ANNE PRICE, 2.74, 5c0e7bfd-d0b7-483f-8bc4-c10b56ff470d, Worshipping cthulu in womanizing
FRANK MORRIS, 3.53, b87fc2b4-1bf6-4e1b-ab7c-9231454e808b, Using excel to analyse patterns in making new wave movies
KATHY COX, 3.6, 4c38b0bb-1c69-4ac2-bc0e-254b1dcafcc8, View of dagon in writing modern fiction
EDWARD DAVIS, 3.87, 9b8b762a-dbed-4f86-8aad-3f682cd9012c, Using rfid to improve studying mathematics
JOYCE BELL, 2.23, 8685198f-ae52-49e7-9608-902af4f670df, Using excel to analyse patterns in ranting about politics
FRANK LEWIS, 3.89, 25fa6f64-7da2-4f4e-bb47-43541d197789, Using rfid to improve promoting Darwinism
MARIE PEREZ, 2.1, 37b932d8-78e2-4f64-8e91-3a5681206fb8, Using excel to analyse patterns in playing classical piano
PEGGY PARKER, 2.17, e0a620ca-c92b-410b-8f01-754b0f6ab331, Using rfid to improve extracting confessions
MELISSA REED, 3.19, 41988aa4-2531-40dc-a9b6-b0b43e08887c, Worshipping cthulu in making dumb comedies
GREGORY GONZALEZ, 3.11, 29850f6e-01dd-4e1b-a03b-6cdcca8ad50a, Security analysis of constructing an ironic public image
VINCENT ROBINSON, 2.07, 5cb2f43c-06d3-4476-943c-1a2841c430a2, Using rfid to improve representing the disenfranchised
DENISE BAILEY, 2.52, 1831a118-ac13-4ed4-80b4-b7950a4e9301, Security analysis of reporting for The Daily Planet
DALE ALEXANDER, 3.45, 23938fc8-8477-4954-bcec-10a54bbc5b6e, Worshipping cthulu in eating a box of chocolates
RUTH CAMPBELL, 2.1, 232596e7-8d18-4ce0-9f33-58d2f822d8d1, Using excel to analyse patterns in surviving in the 25th century
JOYCE WARD, 2.12, 262d23c5-261f-4a5b-9dba-f2a7aee8c256, Using excel to analyse patterns in writing mystery stories
KEITH GONZALES, 2.24, 2513d716-893d-4844-8aa0-2c6391f8a92e, Security analysis of seducing women
EDNA MARTIN, 2.58, 8b9cc2da-29af-49bb-85d4-c2a480ef396b, Using rfid to improve amassing ill-gotten wealth
JESSICA BROWN, 3.17, f5d132b0-9ff9-4fda-b2e5-83e5b2ee4767, Using ai to streamline selling fried chicken
LUIS SCOTT, 2.11, 859fd5e6-aeab-40d3-9e01-b5a221d56d5f, Using excel to analyse patterns in lecturing about climate change
JULIA WOOD, 2.97, 2b210eae-0d67-4944-823e-544b78a1419f, View of dagon in writing political tracts
PHILIP ROBINSON, 3.36, 719ea2f0-11d6-4762-a9d8-dff7183f00ae, Security analysis of campaigning for the senate
PEGGY BROOKS, 3.05, 28f66553-07ab-46e5-8616-752e7e08941a, View of dagon in selling consumer goods
PAMELA HUGHES, 3.45, 53194a9b-2d23-4578-bc37-2d672b17ecf5, Worshipping cthulu in studying the cosmos
PATRICIA THOMPSON, 3.78, 38cdb724-9242-4bb0-ba19-5f6871ccfd35, Using ai to streamline campaigning for the senate
PATRICIA JACKSON, 2.97, c37cc401-39a3-4d9d-8af6-c4a6a33d462c, Using rfid to improve starring in action movies
MICHAEL STEWART, 3.41, 4c0401a6-e5f6-4137-b89e-146b458fae43, View of dagon in starring in action movies
CLARENCE PEREZ, 2.58, b147d49f-bbd1-4881-a93f-9813c8398491, Using rfid to improve recording pop songs
JANET MITCHELL, 3.08, 6d84106f-c0a0-4d11-8c08-da1caddd503e, Using ai to streamline playing pranks
JANE JENKINS, 3.27, 98021e37-cef4-42b5-8a66-ff5852b2ec08, View of dagon in promoting Objectivism
BONNIE MARTIN, 2.2, 535fe9be-b2b1-4c58-89df-79672df7be12, Worshipping cthulu in starring in Hollywood movies
DAWN BAILEY, 2.59, b96b0dad-b69c-4be8-b8a7-0a58b4f41120, View of dagon in rescuing aristocrats
KAREN GREEN, 3.6, eeae7fb2-1fb0-44e7-b157-19e3e063cd08, Using excel to analyse patterns in promoting conservative values
PHYLLIS PARKER, 3.55, eeae7fb2-1fb0-44e7-b157-19e3e063cd08, Using excel to analyse patterns in promoting conservative values
JULIE JACKSON, 3.32, 8efba10a-6cbf-44ac-a713-2d153d4a7df1, View of dagon in performing magic tricks
WENDY KING, 3.76, b6bc2b42-1e87-4294-811e-0bcb0a3ae1c8, View of dagon in starring in madcap comedies
TONY SMITH, 3.95, 0132f53c-5513-4362-bf83-a2dc7550ad3f, Using excel to analyse patterns in running an empire
ERIC DAVIS, 2.41, 82781566-5de0-4357-b01e-01ae8975caa9, View of dagon in commanding a whaling ship
EVELYN PETERSON, 3.97, 0dc2f841-b350-4e84-a26f-6f836589bdca, Using excel to analyse patterns in winning cycling races
RACHEL LONG, 2.08, eaa42704-b43b-4c26-8cf0-6c68e2b50c8f, Worshipping cthulu in starring in romantic comedies
